ROUTE,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,COST
00345176892A,0,3,4,5,1,7,6,8,9,2,10,6224
00345761892A,0,3,4,5,7,6,1,8,9,2,10,6227
0043627589A1,0,4,3,6,2,7,5,8,9,10,1,6227
00543672891A,0,5,4,3,6,7,2,8,9,1,10,6244
00425763981A,0,4,2,5,7,6,3,9,8,1,10,6247
00435672918A,0,4,3,5,6,7,2,9,1,8,10,6260
00542367891A,0,5,4,2,3,6,7,8,9,1,10,6262
00346578291A,0,3,4,6,5,7,8,2,9,1,10,6266
0054637218A9,0,5,4,6,3,7,2,1,8,10,9,6267
0045673189A2,0,4,5,6,7,3,1,8,9,10,2,6292
00456382179A,0,4,5,6,3,8,2,1,7,9,10,6314
00256478391A,0,2,5,6,4,7,8,3,9,1,10,6318
0042567389A1,0,4,2,5,6,7,3,8,9,10,1,6320
00315647298A,0,3,1,5,6,4,7,2,9,8,10,6337
00325768419A,0,3,2,5,7,6,8,4,1,9,10,6341
00256148379A,0,2,5,6,1,4,8,3,7,9,10,6345
00453276891A,0,4,5,3,2,7,6,8,9,1,10,6347
00423765981A,0,4,2,3,7,6,5,9,8,1,10,6349
0043267851A9,0,4,3,2,6,7,8,5,1,10,9,6352
00354671829A,0,3,5,4,6,7,1,8,2,9,10,6354
005364782A19,0,5,3,6,4,7,8,2,10,1,9,6355
0042651783A9,0,4,2,6,5,1,7,8,3,10,9,6363
0041365789A2,0,4,1,3,6,5,7,8,9,10,2,6378
004562389A17,0,4,5,6,2,3,8,9,10,1,7,6379
00432657189A,0,4,3,2,6,5,7,1,8,9,10,6401
00324576819A,0,3,2,4,5,7,6,8,1,9,10,6403
00456732891A,0,4,5,6,7,3,2,8,9,1,10,6405
0042657839A1,0,4,2,6,5,7,8,3,9,10,1,6406
00315627894A,0,3,1,5,6,2,7,8,9,4,10,6407
0034675892A1,0,3,4,6,7,5,8,9,2,10,1,6408
00346751829A,0,3,4,6,7,5,1,8,2,9,10,6410
0025634789A1,0,2,5,6,3,4,7,8,9,10,1,6413
00241568739A,0,2,4,1,5,6,8,7,3,9,10,6414
0045267893A1,0,4,5,2,6,7,8,9,3,10,1,6415
00456287931A,0,4,5,6,2,8,7,9,3,1,10,6417
00425678931A,0,4,2,5,6,7,8,9,3,1,10,6419
00526347198A,0,5,2,6,3,4,7,1,9,8,10,6425
00254637891A,0,2,5,4,6,3,7,8,9,1,10,6429
00254673918A,0,2,5,4,6,7,3,9,1,8,10,6434
0013547682A9,0,1,3,5,4,7,6,8,2,10,9,6442
00352476819A,0,3,5,2,4,7,6,8,1,9,10,6443
00435278691A,0,4,3,5,2,7,8,6,9,1,10,6490
0043567829A1,0,4,3,5,6,7,8,2,9,10,1,6498
0052463897A1,0,5,2,4,6,3,8,9,7,10,1,6499
0035267498A1,0,3,5,2,6,7,4,9,8,10,1,6504
0042657839A1,0,4,2,6,5,7,8,3,9,10,1,6505
00526438791A,0,5,2,6,4,3,8,7,9,1,10,6516
0035627489A1,0,3,5,6,2,7,4,8,9,10,1,6585
0025346789A1,0,2,5,3,4,6,7,8,9,10,1,6586
0041267859A3,0,4,1,2,6,7,8,5,9,10,3,6617
0053468721A9,0,5,3,4,6,8,7,2,1,10,9,6622
